img;act_class
IMG_9978070570836.jpeg;shopping cart
Screenshot_2016-07-20-11-33-43.png;gibbon, Hylobates lar
2016-07-08 20.22.19.jpg;space heater
2016-06-24 17.46.44.jpg;tarantula
2016-05-29 22.47.55.jpg;seat belt, seatbelt
IMG_20141206_143527909.jpg;seashore, coast, seacoast, sea-coast
IMG_20151017_095036264.jpg;medicine chest, medicine cabinet
andricgrad.jpg;vault
2016-07-09 18.58.30.jpg;amphibian, amphibious vehicle
2016-07-13 17.38.49.jpg;park bench
Fotos 751.jpg;throne
Screenshot_2016-07-20-11-25-17-1.png;coral reef
2015-11-01 00.31.44.jpg;comic book
2015-03-07 18.50.44.jpg;toilet tissue, toilet paper, bathroom tissue
2015-03-07 18.50.15.jpg;seat belt, seatbelt
IMG_20150108_152018643_HDR.jpg;Airedale, Airedale terrier
2015-02-27 15.42.59.jpg;soap dispenser
20141130_195703.jpg;football helmet
bosna1.jpg;mailbox, letter box
IMG_332679765605679.jpeg;bonnet, poke bonnet
2016-07-13 19.17.05.jpg;Angora, Angora rabbit
IMG_9776.jpg;suspension bridge
Screenshot_2016-07-20-11-26-29-1.png;Eskimo dog, husky
IMG_20150722_182131.jpg;oil filter
kyRrpwuXm9I.jpg;sea cucumber, holothurian
IMG_20141117_175301327.jpg;suspension bridge
IMG_20150108_124638428.jpg;alp
P_Monterosso_seaside.jpg;wing
eileen_05.jpg;great grey owl, great gray owl, Strix nebulosa
IMG_20160628_132401.jpg;hyena, hyaena
IMG_20160601_143735105.jpg;palace
20160718_202645.jpg;goose
521428_10151254621992834_1633641140_n.jpg;panpipe, pandean pipe, syrinx
display-dummy-915135_1280-800x559.jpg;beer bottle
IMG_20141118_123454075.jpg;cliff, drop, drop-off
2016-07-09 15.47.34.jpg;palace
IMG_20160618_130033.jpg;tabby, tabby cat
IMG_20160527_153932696.jpg;hand blower, blow dryer, blow drier, hair dryer, hair drier
2015-08-17 19.08.37.jpg;poncho
Screenshot_2016-07-20-11-26-06-1.png;English springer, English springer spaniel
2015-10-31 16.49.47.jpg;grocery store, grocery, food market, market
IMG_20160711_220813.jpg;Egyptian cat
index.jpe;mountain bike, all-terrain bike, off-roader
2016-06-24 17.46.56.jpg;cliff dwelling
2016-07-09 15.27.18.jpg;palace
Izumi Miyazaki 9.jpg;ice lolly, lolly, lollipop, popsicle
IMG_20150628_093848979_HDR.jpg;patio, terrace
IMG_20160705_221052.jpg;Egyptian cat
IMG_20150703_121108530.jpg;triumphal arch
Screenshot_2016-07-20-11-27-09-1.png;axolotl, mud puppy, Ambystoma mexicanum
IMG_20141206_144523810.jpg;freight car
IMG_20160623_140859.jpg;wool, woolen, woollen
IMG_20160707_131342.jpg;ping-pong ball
IMG_20160531_143739357.jpg;valley, vale
2016-07-08 20.23.44.jpg;dining table, board
IMG_20150722_184142.jpg;stage
485130_485008568210421_1818953021_n.jpg;pillow
12106807_985340161530847_5347170002040571192_n.jpg;refrigerator, icebox
bicycle-on-the-city-street-23222-1920x1200.jpg;moped
2016-06-24 16.37.37.jpg;Rhodesian ridgeback
20160720_075849-1.jpg;water snake
Screenshot_2016-07-20-11-27-30-1.png;tarantula
IMG_1403.JPG;gondola
2016-06-29 19.58.11.jpg;notebook, notebook computer
bauhaus gelb.jpg;bookcase
IMG_20160329_222402945.jpg;dining table, board
20150830_181302.jpg;castle
2015-10-18 10.27.22.jpg;grand piano, grand
Screenshot_2016-07-20-11-25-10-1.png;schipperke
IMG_20151017_095054058_HDR.jpg;window shade
25282615.jpg;lakeside, lakeshore
IMG_20160629_152357.jpg;tabby, tabby cat
2015-11-01 00.33.05.jpg;upright, upright piano
20160718_180108.jpg;barrow, garden cart, lawn cart, wheelbarrow
Screenshot_2016-07-20-11-25-45-1.png;trench coat
tumblr_mb7lvprocS1rsagu3o1_1280.jpg;trench coat
IMG_20141130_105816501_HDR.jpg;jeep, landrover
Screenshot_2016-07-20-11-26-21-1.png;hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
2015-02-11 15.51.04.jpg;dogsled, dog sled, dog sleigh
Screenshot_2016-07-20-11-25-25-1.png;cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
aawPTJavJ80.jpg;golf ball
diploma.jpg;power drill
10506788_10152544744898376_6668056379171688052_o_800.jpg;military uniform
2015-08-19 13.00.06.jpg;trifle
IMG_20160602_144636707.jpg;cliff, drop, drop-off
47513286cde53d34a320eb94a99389ff.jpg;grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus
4.PNG;vase
2015-08-15 14.30.49.jpg;valley, vale
FB_IMG_1422957248380.jpg;stone wall
IMG_20150125_111244755.jpg;sliding door
IMG_20150704_190120452_HDR.jpg;minibus
IMG_20160701_122849.jpg;stole
Screenshot_2016-07-20-11-26-51-1.png;eft
2016-06-24 16.38.05.jpg;impala, Aepyceros melampus
IMG_20160717_201947617.jpg;knee pad
3432610-1000-1446444849comment_pngkZ7y3otB9J0WJmTBEYYcmM3S6Tydz.jpg;grasshopper, hopper
cat1.png;tabby, tabby cat
Screenshot_2016-07-20-11-25-30-1.png;Lakeland terrier
kbXsNpr_51A.jpg;seat belt, seatbelt
2016-07-08 19.18.39.jpg;brass, memorial tablet, plaque
2015-02-11 15.50.44.jpg;dogsled, dog sled, dog sleigh
IMG_20160514_161144955.jpg;washer, automatic washer, washing machine
2015-09-21 22.11.09.jpg;trifle
IMG_20141201_162820001.jpg;dock, dockage, docking facility
IMG_20150907_212721956.jpg;mountain bike, all-terrain bike, off-roader
Nick-Bostrom-v7-1200x670.jpg;bow tie, bow-tie, bowtie
